"Nazwa produktu","Kod produktu","Product name (incl. combination)"
"Szczotka Waldhausen Dokr czarna","3845921-21/4,5","Szczotka Waldhausen Dokr czarna : KOLOR - czarny, ROZMIAR - 21 cm,Szczotka Waldhausen Dokr czarna : KOLOR - czarny, ROZMIAR - 21/4,5 cm"
"Grzebień plastikowy Waldhausen Lucky Unicorn różowy","3847738","Grzebień plastikowy Waldhausen Lucky Unicorn różowy : KOLOR - różowy"
"Szczotkokopystka żelowa QHP fuksjowa","5246 FU 0","Szczotkokopystka żelowa QHP fuksjowa : KOLOR - fuksja"
"Gumki do grzywy QHP silikonowe kolorowe - wiaderko","5090 MIX 200GR","Gumki do grzywy QHP silikonowe kolorowe - wiaderko : KOLOR - wielokolorowy, ROZMIAR - 200 g"
"Szczotkokopystka żelowa QHP limonkowa","5246 LI 0","Szczotkokopystka żelowa QHP limonkowa : KOLOR - limonkowy,Szczotkokopystka żelowa QHP limonkowa : KOLOR - limonkowy"
"Szczotkokopystka żelowa QHP granatowa","5246 NA 0","Szczotkokopystka żelowa QHP granatowa : KOLOR - granatowy,Szczotkokopystka żelowa QHP granatowa : KOLOR - granatowy"
"Szczotka igiełkowa do sierści HKM czarna","52409100.ST","Szczotka igiełkowa do sierści HKM czarna : KOLOR - czarny"
"Szczotkokopystka żelowa QHP niebieska","5246 SK 0","Szczotkokopystka żelowa QHP niebieska : KOLOR - niebieski"
"Szczotka Mati naturalna do łba owalna duża","16568-14,5","Szczotka Mati naturalna do łba owalna duża : ROZMIAR - 16,5 cm,Szczotka Mati naturalna do łba owalna duża : ROZMIAR - 14,5 cm"
"Szczotka Mati naturalna połyskowa","16603-18,5","Szczotka Mati naturalna połyskowa : ROZMIAR - 18,5 cm"
"Pędzel Mati do smaru naturalny","16570","Pędzel Mati do smaru naturalny"
"Szczotka Mati włos mieszany długi 4.8cm mała","17118-18","Szczotka Mati włos mieszany długi 4.8cm mała : ROZMIAR - 19,5 cm,Szczotka Mati włos mieszany długi 4.8cm mała : ROZMIAR - 18 cm,Szczotka Mati włos mieszany długi 4.8cm mała : ROZMIAR - 16,5 cm"
"Szczotka Mati włos mieszany mała","17115-18","Szczotka Mati włos mieszany mała : ROZMIAR - 18 cm,Szczotka Mati włos mieszany mała : ROZMIAR - 19,5 cm,Szczotka Mati włos mieszany mała : ROZMIAR - 16,5 cm"
"Szczotka duża drewniana","167900","Szczotka duża drewniana : ROZMIAR - 21 cm"
"Zgrzebło Kerbl metalowe z czerwoną rączką","189","Zgrzebło Kerbl metalowe z czerwoną rączką"
"Pędzel w pojemniku Waldhausen duży niebieski","173450","Pędzel w pojemniku Waldhausen duży niebieski : KOLOR - niebieski"
"Pędzel w pojemniku Waldhausen duży różowy","173431","Pędzel w pojemniku Waldhausen duży różowy : KOLOR - różowy"
"Grzebień aluminiowy z rączką Kerbl","1820/1","Grzebień aluminiowy z rączką Kerbl"
"Szczotkokopystka z rączką gumowaną York miętowo-szara","240218","Szczotkokopystka z rączką gumowaną York miętowo-szara : KOLOR - miętowy-szary"
"Szczotkokopystka z rączką gumowaną York bordowo-czarna","240207","Szczotkokopystka z rączką gumowaną York bordowo-czarna : KOLOR - bordowy-czarny"
"Szczotkokopystka z rączką gumowaną York pomarańczowo-brązowa","240208","Szczotkokopystka z rączką gumowaną York pomarańczowo-brązowa : KOLOR - pomarańczowy-brązowy,Szczotkokopystka z rączką gumowaną York pomarańczowo-brązowa : KOLOR - pomarańczowy-brązowy"
"Szczotkokopystka z rączką gumowaną York szaro-czarna","240213","Szczotkokopystka z rączką gumowaną York szaro-czarna : KOLOR - szary-czarny"
"Szczotkokopystka z rączką gumowaną York różowo-szara","240206","Szczotkokopystka z rączką gumowaną York różowo-szara : KOLOR - różowy-szary"
"Szczotkokopystka z rączką gumowaną York czerwono-czarna","240212","Szczotkokopystka z rączką gumowaną York czerwono-czarna : KOLOR - czerwony-czarny,Szczotkokopystka z rączką gumowaną York czerwono-czarna : KOLOR - czerwony-czarny"
"Szczotkokopystka z rączką gumowaną York niebiesko-czarna","240204","Szczotkokopystka z rączką gumowaną York niebiesko-czarna : KOLOR - niebieski-czarny"
"Zgrzebło igiełkowe York pomarańczowe","240608","Zgrzebło igiełkowe York pomarańczowe : KOLOR - pomarańczowy"
"Pędzel w pojemniczku York duży czarny","240502","Pędzel w pojemniczku York duży czarny : KOLOR - czarny"
"Szczotkokopystka z głową konia York różowa","240307","Szczotkokopystka z głową konia York różowa : KOLOR - różowy"
"Zgrzebło igiełkowe York czarne","240602","Zgrzebło igiełkowe York czarne : KOLOR - czarny"
"Zgrzebło igiełkowe York niebieskie","240604","Zgrzebło igiełkowe York niebieskie : KOLOR - niebieski"
"Zgrzebło igiełkowe York różowe","240606","Zgrzebło igiełkowe York różowe : KOLOR - różowy"
"Szczotkokopystka z głową konia York niebieska","240304","Szczotkokopystka z głową konia York niebieska : KOLOR - niebieski"
"Zgrzebło igiełkowe York zielone","240611","Zgrzebło igiełkowe York zielone : KOLOR - zielony"
"Zgrzebło igiełkowe York błękitne","240603","Zgrzebło igiełkowe York błękitne : KOLOR - błękitny"
"Miarka do paszy York niebieska","241204-2","Miarka do paszy York niebieska : KOLOR - niebieski, ROZMIAR - 2 kg,Miarka do paszy York niebieska : KOLOR - niebieski, ROZMIAR - 2 kg"
"Grzebień do zaplatania koreczków York niebieski","241004","Grzebień do zaplatania koreczków York niebieski : KOLOR - niebieski"
"Szczotka do grzywy i ogona York czarno-szara","242201","Szczotka do grzywy i ogona York czarno-szara : KOLOR - czarny-szary"
"Grzebień do zaplatania koreczków York różowy","241008","Grzebień do zaplatania koreczków York różowy : KOLOR - różowy"
"Grzebień do zaplatania koreczków York czerwony","241018","Grzebień do zaplatania koreczków York czerwony : KOLOR - czerwony"
"Grzebień do zaplatania koreczków York fioletowy","241019","Grzebień do zaplatania koreczków York fioletowy : KOLOR - fioletowy"
"Zgrzebło igiełkowe York czerwone","240612","Zgrzebło igiełkowe York czerwone : KOLOR - czerwony,Zgrzebło igiełkowe York czerwone : KOLOR - czerwony"
