"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Category Default Name","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu","Krótki opis"
"29","Bejsbolówka Pikeur żółty","Bejsbolówka firmy Pikeur z kolekcji wiosna-lato 2015. Lekka czapka z sztywnym daszkiem, regulowana z tyłu. Dookoła głowy obszyta bawełną typu frota zbierającą pot. Ozdobiona dużym napisem Pikeur.","115.00 PLN","62.10 PLN","https://www.pegazshop.pl/bejsbolówka-pikeur-żółty-29.html","http://www.pegazshop.pl/19487/bejsbolówka-pikeur-żółty.jpg","Czapki z daszkiem","Pikeur","4055377097081","00370-CAP 978/956","<p>Bejsbolówka firmy Pikeur z kolekcji wiosna-lato 2015. Lekka czapka z sztywnym daszkiem, regulowana z tyłu. Dookoła głowy obszyta bawełną typu frota zbierającą pot. Ozdobiona dużym napisem Pikeur.</p>"
"31","Bejsbolówka Pikeur","Bejsbolówka firmy Pikeur kolekcji wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur.","119.00 PLN","69.02 PLN","https://www.pegazshop.pl/bejsbolówka-pikeur-31.html","http://www.pegazshop.pl/19887/bejsbolówka-pikeur.jpg","Czapki z daszkiem","Pikeur","4047182491956","00373-CAP-BALLON 970","<p>Bejsbolówka firmy Pikeur kolekcji wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur.</p>"
"34","Bejsbolówka Pikeur","Bejsbolówka firmy Pikeur kolekcji wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur.","119.00 PLN","67.83 PLN","https://www.pegazshop.pl/bejsbolówka-pikeur--34.html","http://www.pegazshop.pl/19888/bejsbolówka-pikeur-.jpg","Czapki z daszkiem","Pikeur","4047182491987","00376-CAP-BALLON 973","<p>Bejsbolówka firmy Pikeur kolekcji wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur.</p>"
"38","Bezrękawnik Pikeur Gracia śliwkowa","Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień.","749.00 PLN","426.93 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-gracia-śliwkowa-38.html","http://www.pegazshop.pl/17551/bezrękawnik-pikeur-gracia-śliwkowa.jpg","Kamizelki damskie","Pikeur","4055377480753","00427-GRACIA 3111-44","<p>Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień.</p>"
"40","Bejsbolówka Pikeur granatowa","Bejsbolówka firmy Pikeur kolekcj wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur.","119.00 PLN","61.88 PLN","https://www.pegazshop.pl/bejsbolówka-pikeur-granatowa-40.html","http://www.pegazshop.pl/19506/bejsbolówka-pikeur-granatowa.jpg","Czapki z daszkiem","Pikeur","4047182793531","CAP POLO 994/965","<p>Bejsbolówka firmy Pikeur kolekcj wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur.</p>"
"42","Bejsbolówka Pikeur różowa","Bejsbolówka firmy Pikeur z kolekcji wiosna-lato 2015. Lekka czapka z sztywnym daszkiem, wykonanaz bawełny. Regulowana z tyłu. Z przodu ozdobiona naszywką w kształcie gwiazdy z napisem Pikeur Sports.","39.00 PLN","13.26 PLN","https://www.pegazshop.pl/bejsbolówka-pikeur-różowa--42.html","http://www.pegazshop.pl/19892/bejsbolówka-pikeur-różowa-.jpg,http://www.pegazshop.pl/19893/bejsbolówka-pikeur-różowa-.jpg","Czapki z daszkiem","Pikeur","4047182492045","00383-CAP 959","<p>Bejsbolówka firmy Pikeur z kolekcji wiosna-lato 2015. Lekka czapka z sztywnym daszkiem, wykonanaz bawełny. Regulowana z tyłu. Z przodu ozdobiona naszywką w kształcie gwiazdy z napisem Pikeur Sports.</p>"
"46","Bezrękawnik Pikeur Carlson brązowy","Kamizelka męska Carlos marki Pikeur z kolekcji jesień-zima 2017. Ocieplana kamizelka, pikowana w różnej grubości pasy, podszyta kontrastującą podszewką. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie i ozdobiona emblematem „Pikeur” z lewej strony.","525.00 PLN","299.25 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-carlson-brązowy-46.html","http://www.pegazshop.pl/19070/bezrękawnik-pikeur-carlson-brązowy.jpg","Kamizelki męskie","Pikeur","4047182811983","00383-CAP 1162-M","<p>Kamizelka męska Carlos marki Pikeur z kolekcji jesień-zima 2017. Ocieplana kamizelka, pikowana w różnej grubości pasy, podszyta kontrastującą podszewką. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie i ozdobiona emblematem „Pikeur” z lewej strony.</p>"
"47","Bezrękawnik Pikeur Gracia perłowy róż","Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień.","749.00 PLN","434.42 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-gracia-perłowy-róż-47.html","http://www.pegazshop.pl/17543/bezrękawnik-pikeur-gracia-perłowy-róż.jpg","Kamizelki damskie","Pikeur","4055377336364","00426-GRACIA 3110-36","<p>Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień.</p>"
"49","Bezrękawnik Pikeur Pico antracytowy","Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.","585.00 PLN","333.45 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-antracytowy-49.html","http://www.pegazshop.pl/19090/bezrękawnik-pikeur-pico-antracytowy.jpg","Kamizelki męskie","Pikeur","4055377705832","00433-PICO 1988-52","<p>Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.</p>"
"50","Bezrękawnik Pikeur Pico czerwony","Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.","585.00 PLN","333.45 PLN,333.45 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-czerwony-50.html","http://www.pegazshop.pl/19349/bezrękawnik-pikeur-pico-czerwony.jpg","Kamizelki męskie","Pikeur","4055377508785","00434-PICO 1986-48","<p>Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.</p>"
