"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu"
"52125","Czaprak Waldhausen Paris Two ocean","Elegancki, wysokiej jakości czaprak z kwiatowym pikowaniem w kształcie jedwabiu. Aplikacja z cyrkoniami sprawia, że ​​czaprak naprawdę przyciąga wzrok. Funkcjonalny spód zapewnia optymalną oddychalność. Pianka 10 mm i wypełnienie 200 g/m² zapewniają najlepszy rozkład nacisku.<br><br><br>Materiał wierzchni: 100% poliester<br>Podszewka: 100% poliester<br><br>Wyściółka: 100% poliester<br>Pianka: 100% poliuretan","189.00 PLN","151.20 PLN","https://www.pegazshop.pl/czaprak-waldhausen-paris-two-ocean-52125.html#/rozmiar-vs/kolor-ocean","http://www.pegazshop.pl/47701/czaprak-waldhausen-paris-two-ocean.jpg,http://www.pegazshop.pl/77107/czaprak-waldhausen-paris-two-ocean.jpg,http://www.pegazshop.pl/77108/czaprak-waldhausen-paris-two-ocean.jpg","Waldhausen","4057962171527","1115985-VSS"
"52126","Czaprak Waldhausen Paris Two bordowy","Elegancki, wysokiej jakości czaprak z kwiatowym pikowaniem w kształcie jedwabiu. Aplikacja z cyrkoniami sprawia, że ​​czaprak naprawdę przyciąga wzrok. Funkcjonalny spód zapewnia optymalną oddychalność. Pianka 10 mm i wypełnienie 200 g/m² zapewniają najlepszy rozkład nacisku.<br><br><br>Materiał wierzchni: 100% poliester<br>Podszewka: 100% poliester<br><br>Wyściółka: 100% poliester<br>Pianka: 100% poliuretan","189.00 PLN","151.20 PLN","https://www.pegazshop.pl/czaprak-waldhausen-paris-two-bordowy-52126.html#/rozmiar-dl/kolor-bordowy","http://www.pegazshop.pl/46828/czaprak-waldhausen-paris-two-bordowy.jpg,http://www.pegazshop.pl/77109/czaprak-waldhausen-paris-two-bordowy.jpg","Waldhausen","4057962175051","1115994-VSS"
"52126","Czaprak Waldhausen Paris Two bordowy","Elegancki, wysokiej jakości czaprak z kwiatowym pikowaniem w kształcie jedwabiu. Aplikacja z cyrkoniami sprawia, że ​​czaprak naprawdę przyciąga wzrok. Funkcjonalny spód zapewnia optymalną oddychalność. Pianka 10 mm i wypełnienie 200 g/m² zapewniają najlepszy rozkład nacisku.<br><br><br>Materiał wierzchni: 100% poliester<br>Podszewka: 100% poliester<br><br>Wyściółka: 100% poliester<br>Pianka: 100% poliuretan","189.00 PLN","151.20 PLN","https://www.pegazshop.pl/czaprak-waldhausen-paris-two-bordowy-52126.html#/rozmiar-vs/kolor-bordowy","http://www.pegazshop.pl/46828/czaprak-waldhausen-paris-two-bordowy.jpg,http://www.pegazshop.pl/77109/czaprak-waldhausen-paris-two-bordowy.jpg,http://www.pegazshop.pl/77110/czaprak-waldhausen-paris-two-bordowy.jpg","Waldhausen","4057962175051","1115994-VSS"
"53343","Strzemiona Flex-On Green Composite z kolcami dorośli grafitowo-czarno-śliwkowe","Strzemiona Flex-On Green Composite z kolcami dorośli. Strzemiona posiadają skośną wkładkę","989.00 PLN","791.20 PLN","https://www.pegazshop.pl/strzemiona-flex-on-green-composite-z-kolcami-dorosli-grafitowo-czarno-sliwkowe-53343.html#/kolor-grafitowy_czarny_śliwkowy","http://www.pegazshop.pl/51029/strzemiona-flex-on-green-composite-z-kolcami-dorosli-grafitowo-czarno-sliwkowe.jpg","Flex-on","5901646953031","GC04IUG0508"
"53346","Strzemiona bezpieczne Flex-On Junior czarno-czarno-śliwkowe","<p>Strzemiona bezpieczne Flex-On młodzieżowe.</p>","785.00 PLN","706.50 PLN","https://www.pegazshop.pl/strzemiona-bezpieczne-flex-on-junior-czarno-czarno-sliwkowe-53346.html#/kolor-czarny_śliwkowy","http://www.pegazshop.pl/51038/strzemiona-bezpieczne-flex-on-junior-czarno-czarno-sliwkowe.jpg","Flex-on","5901646953079","SOJ05IG0508"
"53347","Strzemiona bezpieczne Flex-On Junior czarno-czarno-niebieskie","<p>Strzemiona bezpieczne Flex-On młodzieżowe.</p>","785.00 PLN","706.50 PLN","https://www.pegazshop.pl/strzemiona-bezpieczne-flex-on-junior-czarno-czarno-niebieskie-53347.html#/kolor-czarny_czarny_niebieski","http://www.pegazshop.pl/51046/strzemiona-bezpieczne-flex-on-junior-czarno-czarno-niebieskie.jpg","Flex-on","5901646953062","SOJ05IG0518"
"53348","Strzemiona bezpieczne Flex-On Junior czarno-czarno-ciemnozielone","<p>Strzemiona bezpieczne Flex-On młodzieżowe.</p>","785.00 PLN","706.50 PLN","https://www.pegazshop.pl/strzemiona-bezpieczne-flex-on-junior-czarno-czarno-ciemnozielone-53348.html#/kolor-czarny_czarny_ciemnozielony","http://www.pegazshop.pl/51040/strzemiona-bezpieczne-flex-on-junior-czarno-czarno-ciemnozielone.jpg","Flex-on","5901646953048","SOJ05IG0525"
"53354","Strzemiona bezpieczne Flex-On Junior grafitowo-czarno-śliwkowe","<p>Strzemiona bezpieczne Flex-On młodzieżowe.</p>","785.00 PLN","588.75 PLN","https://www.pegazshop.pl/strzemiona-bezpieczne-flex-on-junior-grafitowo-czarno-sliwkowe-53354.html#/kolor-grafitowy_czarny_śliwkowy","http://www.pegazshop.pl/51037/strzemiona-bezpieczne-flex-on-junior-grafitowo-czarno-sliwkowe.jpg","Flex-on","5901646953086","SOJ04IG0508"
"54090","Strzemiona Flex-On Hunter czarne","Strzemiona Flex-On Hunter z kolcami dorośli","1299.00 PLN","1169.10 PLN","https://www.pegazshop.pl/strzemiona-flex-on-hunter-czarne-54090.html#/kolor-czarny","http://www.pegazshop.pl/47617/strzemiona-flex-on-hunter-czarne.jpg","Flex-on","5901646953055","HU22IUG2105"
"54291","Czaprak Torpol skokowy Per aksamit burgundowy","<p>Czaprak Per firmy Torpol.</p>","309.00 PLN","231.75 PLN","https://www.pegazshop.pl/czaprak-torpol-skokowy-per-burgundowy-54291.html#/rozmiar-vs_full/kolor-burgundowy","http://www.pegazshop.pl/48026/czaprak-torpol-skokowy-per-burgundowy.jpg,http://www.pegazshop.pl/48027/czaprak-torpol-skokowy-per-burgundowy.jpg,http://www.pegazshop.pl/63953/czaprak-torpol-skokowy-per-burgundowy.jpg,http://www.pegazshop.pl/63954/czaprak-torpol-skokowy-per-burgundowy.jpg","Torpol","5906783271529","374-004-PER"
