"Identyfikator Produktu (ID)","Product name (incl. combination)","Kod produktu","Cena ostateczna (brutto)","Obniżka_1","Obniżka_2","Typ obniżki_1","Typ obniżki_2"
"10542","Kurtka damska Pikeur Hariet granatowa 2019 : KOLOR - granatowy, ROZMIAR - 36,Kurtka damska Pikeur Hariet granatowa 2019 : ROZMIAR - 38, KOLOR - granatowy,Kurtka damska Pikeur Hariet granatowa 2019 : KOLOR - granatowy, ROZMIAR - 40,Kurtka damska Pikeur Hariet granatowa 2019 : KOLOR - granatowy, ROZMIAR - 34","HARIET 4804/36 2019","434.85,434.85,434.85,434.85","0.35","","percentage",""
"10543","Koszulka polo damska Pikeur Dasha brudnoróżowa 2019 : ROZMIAR - 36, KOLOR - brudny róż,Koszulka polo damska Pikeur Dasha brudnoróżowa 2019 : ROZMIAR - 34, KOLOR - brudny róż,Koszulka polo damska Pikeur Dasha brudnoróżowa 2019 : ROZMIAR - 38, KOLOR - brudny róż","DASHA 2085/36 2019","179.28,179.28,179.28","0.28","","percentage",""
"10586","Bryczesy Pikeur Kallota Grip Jeans szare 2019 : KOLOR - szary, ROZMIAR - 176,Bryczesy Pikeur Kallota Grip Jeans szare 2019 : KOLOR - szary, ROZMIAR - 164,Bryczesy Pikeur Kallota Grip Jeans szare 2019 : KOLOR - szary, ROZMIAR - 170,Bryczesy Pikeur Kallota Grip Jeans szare 2019 : KOLOR - szary, ROZMIAR - 158","KALOTTA JEANS GRI 7761/176","389.98,371.38,389.98,389.98","0.38","","percentage",""
"10597","Bryczesy Pikeur Maylin Grip grafitowe 2019 : ROZMIAR - 34, KOLOR - ciemnoszary,Bryczesy Pikeur Maylin Grip grafitowe 2019 : ROZMIAR - 38, KOLOR - ciemnoszary,Bryczesy Pikeur Maylin Grip grafitowe 2019 : ROZMIAR - 36, KOLOR - ciemnoszary","MAYLIN GRIP 3357/34 2019","437.27,459.17,459.17","0.27","","percentage",""
"10624","Bluza damska Pikeur Cara szara 2019 : KOLOR - szary, ROZMIAR - 34,Bluza damska Pikeur Cara szara 2019 : KOLOR - szary, ROZMIAR - 40,Bluza damska Pikeur Cara szara 2019 : ROZMIAR - 38, KOLOR - szary,Bluza damska Pikeur Cara szara 2019 : ROZMIAR - 36, KOLOR - szary","CARA 2661/34 2019","267.33,267.33,267.33,267.33","0.33","","percentage",""
"10634","Kurtka damska przeciwdeszczowa Pikeur Yuna granatowa 2019 : KOLOR - granatowy, ROZMIAR - 34,Kurtka damska przeciwdeszczowa Pikeur Yuna granatowa 2019 : ROZMIAR - 38, KOLOR - granatowy,Kurtka damska przeciwdeszczowa Pikeur Yuna granatowa 2019 : KOLOR - granatowy, ROZMIAR - 36","YUNA 1107/34 2019","681.75,674.25,674.25","0.25","","percentage",""
"10639","Koszulka damska Pikeur Nelia oliwkowa 2019 : ROZMIAR - 36, KOLOR - oliwkowy,Koszulka damska Pikeur Nelia oliwkowa 2019 : ROZMIAR - 38, KOLOR - oliwkowy,Koszulka damska Pikeur Nelia oliwkowa 2019 : ROZMIAR - 34, KOLOR - oliwkowy","NELIA 1940/36 2019","88.04,129.58,129.58","0.38","","percentage",""
"10644","Koszulka damska Pikeur Uljana Prime ciemny róż 2019 : ROZMIAR - 34, KOLOR - ciemny róż,Koszulka damska Pikeur Uljana Prime ciemny róż 2019 : ROZMIAR - 40, KOLOR - ciemny róż,Koszulka damska Pikeur Uljana Prime ciemny róż 2019 : ROZMIAR - 38, KOLOR - ciemny róż,Koszulka damska Pikeur Uljana Prime ciemny róż 2019 : ROZMIAR - 36, KOLOR - ciemny róż","ULJANA PRIME 1386/34 2019","129.58,79.98,92.38,129.58","0.38","","percentage",""
"10651","Kurtka damska Pikeur Hariet brudnoróżowa 2019 : ROZMIAR - 36, KOLOR - brudny róż,Kurtka damska Pikeur Hariet brudnoróżowa 2019 : ROZMIAR - 34, KOLOR - brudny róż,Kurtka damska Pikeur Hariet brudnoróżowa 2019 : ROZMIAR - 40, KOLOR - brudny róż,Kurtka damska Pikeur Hariet brudnoróżowa 2019 : ROZMIAR - 38, KOLOR - brudny róż","HARIET 4806/36 2019","434.85,434.85,434.85,434.85","0.35","","percentage",""
"10654","Bezrękawnik damski Pikeur Hanny granatowy 2019 : KOLOR - granatowy, ROZMIAR - 34,Bezrękawnik damski Pikeur Hanny granatowy 2019 : KOLOR - granatowy, ROZMIAR - 36,Bezrękawnik damski Pikeur Hanny granatowy 2019 : ROZMIAR - 38, KOLOR - granatowy,Bezrękawnik damski Pikeur Hanny granatowy 2019 : KOLOR - granatowy, ROZMIAR - 40","HANNY 4804/34 2019","355.74,230.34,230.34,355.74","0.34","","percentage",""
"10660","Bezrękawnik męski Pikeur Jaro granatowy 2019 : KOLOR - granatowy, ROZMIAR - 48,Bezrękawnik męski Pikeur Jaro granatowy 2019 : KOLOR - granatowy, ROZMIAR - 50,Bezrękawnik męski Pikeur Jaro granatowy 2019 : KOLOR - granatowy, ROZMIAR - 46,Bezrękawnik męski Pikeur Jaro granatowy 2019 : KOLOR - granatowy, ROZMIAR - 52","JARO 4706/48 2019","319.36,319.36,319.36,319.36","0.36","","percentage",""
"10807","Bluza damska Pikeur Cara antracytowa 2019 : ROZMIAR - 36, KOLOR - antracytowy,Bluza damska Pikeur Cara antracytowa 2019 : KOLOR - antracytowy, ROZMIAR - 34,Bluza damska Pikeur Cara antracytowa 2019 : ROZMIAR - 38, KOLOR - antracytowy,Bluza damska Pikeur Cara antracytowa 2019 : KOLOR - antracytowy, ROZMIAR - 40","CARA 2698/36 2019","267.33,267.33,267.33,267.33","0.33","","percentage",""
"10905","Bluzka damska Pikeur Heila czarna 2019 : KOLOR - czarny, ROZMIAR - 34,Bluzka damska Pikeur Heila czarna 2019 : KOLOR - czarny, ROZMIAR - 36,Bluzka damska Pikeur Heila czarna 2019 : KOLOR - czarny, ROZMIAR - 38,Bluzka damska Pikeur Heila czarna 2019 : KOLOR - czarny, ROZMIAR - 40","HEILA 6119/34 2019","148.85,148.85,148.85,207.35","0.35","","percentage",""
"10907","Kurtka damska wiatrówka Pikeur Jola oliwkowa 2019 : ROZMIAR - 36, KOLOR - oliwkowy,Kurtka damska wiatrówka Pikeur Jola oliwkowa 2019 : ROZMIAR - 34, KOLOR - oliwkowy,Kurtka damska wiatrówka Pikeur Jola oliwkowa 2019 : ROZMIAR - 38, KOLOR - oliwkowy,Kurtka damska wiatrówka Pikeur Jola oliwkowa 2019 : ROZMIAR - 40, KOLOR - oliwkowy,Kurtka damska wiatrówka Pikeur Jola oliwkowa 2019 : ROZMIAR - 42, KOLOR - oliwkowy","JOLA 1135/36 2019","296.34,461.34,461.34,296.34,296.34","0.34","","percentage",""
"10915","Kurtka damska Pikeur Marit oliwkowa 2019 : ROZMIAR - 42, KOLOR - oliwkowy,Kurtka damska Pikeur Marit oliwkowa 2019 : ROZMIAR - 38, KOLOR - oliwkowy,Kurtka damska Pikeur Marit oliwkowa 2019 : ROZMIAR - 34, KOLOR - oliwkowy,Kurtka damska Pikeur Marit oliwkowa 2019 : ROZMIAR - 40, KOLOR - oliwkowy,Kurtka damska Pikeur Marit oliwkowa 2019 : ROZMIAR - 36, KOLOR - oliwkowy","MARIT 4821/42 2019","324.35,486.85,486.85,486.85,486.85","0.35","","percentage",""
"11271","Bluza damska Pikeur Minou antracytowa 2019 : ROZMIAR - 38, KOLOR - antracytowy,Bluza damska Pikeur Minou antracytowa 2019 : ROZMIAR - 36, KOLOR - antracytowy,Bluza damska Pikeur Minou antracytowa 2019 : KOLOR - antracytowy, ROZMIAR - 40","MINOU 1246/38 2019","324.00,224.00,324.00","35.00","","amount",""
"11293","Bluzka damska Pikeur Adelina granatowa 2019 : ROZMIAR - 44, KOLOR - granatowy,Bluzka damska Pikeur Adelina granatowa 2019 : KOLOR - granatowy, ROZMIAR - 36,Bluzka damska Pikeur Adelina granatowa 2019 : ROZMIAR - 38, KOLOR - granatowy,Bluzka damska Pikeur Adelina granatowa 2019 : KOLOR - granatowy, ROZMIAR - 34","331500 256 390 / 44","251.30,251.30,251.30,251.30","0.30","","percentage",""
"11664","Kalosze Schockemoehle neoprenowe szare : ROZMIAR - M, KOLOR - szary,Kalosze Schockemoehle neoprenowe szare : KOLOR - szary, ROZMIAR - XL,Kalosze Schockemoehle neoprenowe szare : ROZMIAR - S, KOLOR - szary,Kalosze Schockemoehle neoprenowe szare : ROZMIAR - L, KOLOR - szary","1202-00005 STEEL L","119.00,119.00,119.00,119.00","0.42","","percentage",""
"11955","Skarpety Pikeur Knee Sock Stripes czarne 2019 : KOLOR - czarny, ROZMIAR - 41-46,Skarpety Pikeur Knee Sock Stripes czarne 2019 : KOLOR - czarny, ROZMIAR - 35-40","17350000 2811 / 41-46","33.32,33.32","0.32","","percentage",""
"12324","Kurtka damska Pikeur Alania granatowa 2019 : KOLOR - granatowy, ROZMIAR - 36,Kurtka damska Pikeur Alania granatowa 2019 : KOLOR - granatowy, ROZMIAR - 40,Kurtka damska Pikeur Alania granatowa 2019 : ROZMIAR - 38, KOLOR - granatowy","ALANIA 2561/36 2019","979.30,979.30,979.30","0.30","","percentage",""
"12918","Pasek skórzany Pikeur Suede Belt szary 2019 : KOLOR - szary, ROZMIAR - 85 cm,Pasek skórzany Pikeur Suede Belt szary 2019 : KOLOR - szary, ROZMIAR - 75 cm","482000 308 240 / 75","159.36,159.36","0.36","","percentage",""
"12946","Bezrękawnik damski Pikeur Felia granatowy 2019 : KOLOR - granatowy, ROZMIAR - 34,Bezrękawnik damski Pikeur Felia granatowy 2019 : ROZMIAR - 38, KOLOR - granatowy,Bezrękawnik damski Pikeur Felia granatowy 2019 : KOLOR - granatowy, ROZMIAR - 36","FELIA 109390/34 2019","468.51,468.51,468.51","0.31","","percentage",""
"13228","Kurtka damska Pikeur Ilvy bordowa  2019 : ROZMIAR - 36, KOLOR - bordowy,Kurtka damska Pikeur Ilvy bordowa  2019 : ROZMIAR - 40, KOLOR - bordowy,Kurtka damska Pikeur Ilvy bordowa  2019 : ROZMIAR - 34, KOLOR - bordowy,Kurtka damska Pikeur Ilvy bordowa  2019 : ROZMIAR - 38, KOLOR - bordowy","402301 101 990 / 36","521.93,521.93,521.93,521.93","0.33","","percentage",""
"13229","Bryczesy Pikeur Iona Jeans Grip czarne 2019 : KOLOR - czarny, ROZMIAR - 152,Bryczesy Pikeur Iona Jeans Grip czarne 2019 : KOLOR - czarny, ROZMIAR - 158,Bryczesy Pikeur Iona Jeans Grip czarne 2019 : KOLOR - czarny, ROZMIAR - 170,Bryczesy Pikeur Iona Jeans Grip czarne 2019 : KOLOR - czarny, ROZMIAR - 164","IONA JEANS 477290/152 2019","387.93,387.93,421.43,421.43","0.33","","percentage",""
