"Identyfikator Produktu (ID)","Product name (incl. combination)","Kod produktu","Cena ostateczna (brutto)","Obniżka_1","Obniżka_2","Typ obniżki_1","Typ obniżki_2"
"798","Bluza Eskadron Fanatics Nicky szara 2018 : KOLOR - szary, ROZMIAR - XS,Bluza Eskadron Fanatics Nicky szara 2018 : ROZMIAR - S, KOLOR - szary,Bluza Eskadron Fanatics Nicky szara 2018 : ROZMIAR - M, KOLOR - szary,Bluza Eskadron Fanatics Nicky szara 2018 : ROZMIAR - L, KOLOR - szary,Bluza Eskadron Fanatics Nicky szara 2018 : KOLOR - szary, ROZMIAR - XL,Bluza Eskadron Fanatics Nicky szara 2018 : KOLOR - szary, ROZMIAR - XXL","838930310 XS","142.50,142.50,142.50,142.50,142.50,142.50","0.50","","percentage",""
"1023","Bluza Pikeur Ginny szary melanż 2018 : ROZMIAR - 34, KOLOR - szary melanż,Bluza Pikeur Ginny szary melanż 2018 : ROZMIAR - 38, KOLOR - szary melanż,Bluza Pikeur Ginny szary melanż 2018 : ROZMIAR - 36, KOLOR - szary melanż","GINNY 4744/34","213.57,358.47,358.47","0.37","","percentage",""
"1024","Bluza Pikeur Lareen granatowy 2018 : KOLOR - granatowy, ROZMIAR - 36,Bluza Pikeur Lareen granatowy 2018 : KOLOR - granatowy-pomarańczowy-błękitny-antracytowy,Bluza Pikeur Lareen granatowy 2018 : ROZMIAR - 38, KOLOR - granatowy","LAREEN 1437/36","239.40,367.20,395.38","0.40","","percentage",""
"1026","Bluza Pikeur Frida antracytowy melanż 2018 : ROZMIAR - 36, KOLOR - antracytowy melanż,Bluza Pikeur Frida antracytowy melanż 2018 : ROZMIAR - 40, KOLOR - antracytowy melanż,Bluza Pikeur Frida antracytowy melanż 2018 : ROZMIAR - 38, KOLOR - antracytowy melanż","20350100 3055 / 36","359.29,225.09,359.29","0.39","","percentage",""
"1028","Bluza Pikeur Siska brązowy 2018 : KOLOR - brązowy, ROZMIAR - 34,Bluza Pikeur Siska brązowy 2018 : KOLOR - brązowy, ROZMIAR - 36,Bluza Pikeur Siska brązowy 2018 : ROZMIAR - 38, KOLOR - brązowy,Bluza Pikeur Siska brązowy 2018 : KOLOR - brązowy, ROZMIAR - 40","SISKA 2368/34","276.57,188.37,289.17,289.17","0.37","","percentage",""
"1034","Bezrękawnik Pikeur Gil malinowy : ROZMIAR - 34, KOLOR - malinowy,Bezrękawnik Pikeur Gil malinowy : ROZMIAR - 8 m, KOLOR - różowy-biały-czarny,Bezrękawnik Pikeur Gil malinowy : KOLOR - brązowy-biały-turkusowy, ROZMIAR - 8 m","GIL 4752/34","239.85,239.85,389.35","0.35","","percentage",""
"1043","Bryczesy Pikeur Lefinia Grip szare 2018 : ROZMIAR - 36, KOLOR - jeans szary,Bryczesy Pikeur Lefinia Grip szare 2018 : ROZMIAR - 38, KOLOR - jeans szary,Bryczesy Pikeur Lefinia Grip szare 2018 : ROZMIAR - 40, KOLOR - jeans szary,Bryczesy Pikeur Lefinia Grip szare 2018 : ROZMIAR - 72, KOLOR - jeans szary,Bryczesy Pikeur Lefinia Grip szare 2018 : ROZMIAR - 76, KOLOR - jeans szary,Bryczesy Pikeur Lefinia Grip szare 2018 : ROZMIAR - 80, KOLOR - jeans szary","LAREEN 1437/36","419.40,419.40,269.40,419.40,419.40,419.40","0.40","","percentage",""
"1178","Bezrękawnik Pikeur Celia szary 2018 : KOLOR - szary, ROZMIAR - 34,Bezrękawnik Pikeur Celia szary 2018 : ROZMIAR - 38, KOLOR - szary,Bezrękawnik Pikeur Celia szary 2018 : ROZMIAR - 36, KOLOR - szary","CELIA 2006/34","237.29,395.89,395.89","0.39","","percentage",""
"1181","Kurtka Pikeu Cassia granatowa 2018 : KOLOR - granatowy, ROZMIAR - 36,Kurtka Pikeu Cassia granatowa 2018 : ROZMIAR - 38, KOLOR - granatowy,Kurtka Pikeu Cassia granatowa 2018 : KOLOR - granatowy, ROZMIAR - 34,Kurtka Pikeu Cassia granatowa 2018 : KOLOR - granatowy, ROZMIAR - 40","CASSIA 2078/36","456.00,473.40,456.00,473.40","0.40","","percentage",""
"1429","Rękawiczki Start Strong czarne : KOLOR - czarny, ROZMIAR - L,Rękawiczki Start Strong czarne : KOLOR - czarny, ROZMIAR - M,Rękawiczki Start Strong czarne : KOLOR - czarny, ROZMIAR - S,Rękawiczki Start Strong czarne : KOLOR - czarny, ROZMIAR - XL,Rękawiczki Start Strong czarne : KOLOR - czarny, ROZMIAR - XS,Rękawiczki Start Strong czarne : KOLOR - czarny, ROZMIAR - XXL","1110201/BK-L","79.00,79.00,79.00,79.00,79.00,79.00","0.41","","percentage",""
"2173","Derka przeciw muchom Eskadron navy-beige-royal, granat-biały-niebieski 2011 : ROZMIAR - Pony, KOLOR - navy-beige-royal,Derka przeciw muchom Eskadron navy-beige-royal, granat-biały-niebieski 2011 : ROZMIAR - M, KOLOR - navy-beige-royal,Derka przeciw muchom Eskadron navy-beige-royal, granat-biały-niebieski 2011 : ROZMIAR - L, KOLOR - navy-beige-royal","135853142 P 2011","149.65,149.65,149.65","0.27","0.32","percentage","percentage"
"2616","Kalosze obszywane IR Stars pomarańczowe : KOLOR - pomarańczowy, ROZMIAR - L,Kalosze obszywane IR Stars pomarańczowe : ROZMIAR - S, KOLOR - pomarańczowy","02528-IR:BE80116000/PA-L","115.00,115.00","0.25","","percentage",""
"3228","Kurtka damska Pikeur Indira czarna 2018 : KOLOR - czarny, ROZMIAR - 36,Kurtka damska Pikeur Indira czarna 2018 : ROZMIAR - 900 g,Kurtka damska Pikeur Indira czarna 2018 : KOLOR - czarny, ROZMIAR - 40","INDIRA 4705/36","367.20,367.20,600.00","0.20","","percentage",""
"3229","Bluza Pikeur Siska czarny 2018 : KOLOR - czarny, ROZMIAR - 36,Bluza Pikeur Siska czarny 2018 : KOLOR - czarny, ROZMIAR - 38,Bluza Pikeur Siska czarny 2018 : ROZMIAR - 20 g,Bluza Pikeur Siska czarny 2018 : KOLOR - czarny, ROZMIAR - 34,Bluza Pikeur Siska czarny 2018 : ROZMIAR - 200 ml","SISKA 2369/36","188.37,289.17,289.17,289.17,289.17","0.37","","percentage",""
"4443","Bluza Pikeur Frida fioletowa 2018 : KOLOR - fioletowy, ROZMIAR - 38,Bluza Pikeur Frida fioletowa 2018 : KOLOR - fioletowy, ROZMIAR - 36","FRIDA 4723/38","359.29,359.29","0.39","","percentage",""
"4931","Bezrękawnik Pikeur Gil antracytowy 2018 : ROZMIAR - 36, KOLOR - antracytowy,Bezrękawnik Pikeur Gil antracytowy 2018 : ROZMIAR - 38, KOLOR - antracytowy,Bezrękawnik Pikeur Gil antracytowy 2018 : KOLOR - antracytowy, ROZMIAR - 34","GIL 4749/36","239.85,239.85,389.35","0.35","","percentage",""
"5141","Czaprak Eskadron CS Brillant yellow, żółty SS2012 : KOLOR - yellow, ROZMIAR - DL,Czaprak Eskadron CS Brillant yellow, żółty SS2012 : ROZMIAR - VSS, KOLOR - yellow","201884739 DL 2012","139.01,139.01","0.46","","percentage",""
"5177","Czaprak Eskadron Platinum Glossy Big Square white, biały 2016 : KOLOR - szary,Czaprak Eskadron Platinum Glossy Big Square white, biały 2016 : KOLOR - white, ROZMIAR - VS","206024003 DL 2016","230.30,202.30","0.30","","percentage",""
"5255","Czaprak Eskadron Platinum Cotton Crystal white, biały 2013 : KOLOR - brązowy, ROZMIAR - Full,Czaprak Eskadron Platinum Cotton Crystal white, biały 2013 : KOLOR - granatowy","206904103 DL 2013","185.91,169.01","0.42","","percentage",""
"5263","Czaprak Eskadron Platinum Sequin Diagonal champagne, ecru 2014 : KOLOR - ecru, ROZMIAR - DL,Czaprak Eskadron Platinum Sequin Diagonal champagne, ecru 2014 : KOLOR - ecru, ROZMIAR - VS","212904122 DL 2014","199.03,199.03","0.43","","percentage",""
"5274","Czaprak Eskadron Platinum Samt Crystal ebony, brązowy 2014 : KOLOR - ebony, ROZMIAR - DL,Czaprak Eskadron Platinum Samt Crystal ebony, brązowy 2014 : ROZMIAR - VS, KOLOR - ebony","206903970 DL 2014","230.00,230.00","0.30","","percentage",""
"5276","Czaprak Eskadron Platinum Satin Performance white, biały 2012 : KOLOR - white, ROZMIAR - DL,Czaprak Eskadron Platinum Satin Performance white, biały 2012 : KOLOR - white, ROZMIAR - VS","206901403 DL 2012","192.61,165.02","0.45","","percentage",""
"5837","Derka dla psa Eskadron Platinum black, czarna 2018 : KOLOR - black, ROZMIAR - 45 cm,Derka dla psa Eskadron Platinum black, czarna 2018 : KOLOR - black, ROZMIAR - 30 cm,Derka dla psa Eskadron Platinum black, czarna 2018 : KOLOR - black, ROZMIAR - 65 cm,Derka dla psa Eskadron Platinum black, czarna 2018 : KOLOR - black, ROZMIAR - 55 cm,Derka dla psa Eskadron Platinum black, czarna 2018 : KOLOR - black, ROZMIAR - 35 cm","153024007 45 2018","125.00,125.00,129.00,129.00,125.00","0.13","","percentage",""
"5872","Smycz z obrożą Eskadron NG Vintage caviar, czarna : KOLOR - caviar,Smycz z obrożą Eskadron NG Vintage caviar, czarna : ROZMIAR - S, KOLOR - Caviar,Smycz z obrożą Eskadron NG Vintage caviar, czarna : ROZMIAR - M, KOLOR - Caviar","433803579","109.00,109.00,109.00","0.18","","percentage",""
"5882","Smycz z obrożą Eskadron NG Stars anthra-white SS2016 : ROZMIAR - L, KOLOR - anthra,Smycz z obrożą Eskadron NG Stars anthra-white SS2016 : ROZMIAR - S, KOLOR - anthra,Smycz z obrożą Eskadron NG Stars anthra-white SS2016 : ROZMIAR - M, KOLOR - anthra","431843677 L 2016","119.00,119.00,119.00","0.18","","percentage",""
"5883","Smycz z obrożą Eskadron NG Vintage czarny-fuksja : ROZMIAR - L, KOLOR - czarny-fuksja,Smycz z obrożą Eskadron NG Vintage czarny-fuksja : ROZMIAR - S, KOLOR - czarny-fuksja,Smycz z obrożą Eskadron NG Vintage czarny-fuksja : ROZMIAR - XL, KOLOR - czarny-fuksja,Smycz z obrożą Eskadron NG Vintage czarny-fuksja : ROZMIAR - M, KOLOR - czarny-fuksja","431823516 L","135.00,135.00,135.00,135.00","0.18","","percentage",""
"5888","Obroża dla psa Ekkia Diego & Luna : KOLOR - naturalny, ROZMIAR - 40 cm,Obroża dla psa Ekkia Diego & Luna : ROZMIAR - 45 cm, KOLOR - naturalny,Obroża dla psa Ekkia Diego & Luna : KOLOR - naturalny, ROZMIAR - 35 cm","409210035-50","72.00,79.00,49.00","0.18","","percentage",""
"6063","Bluza z kapturem rozpinana męska Hinz Eskadron Fanatics ciemny granat : KOLOR - granatowy, ROZMIAR - S,Bluza z kapturem rozpinana męska Hinz Eskadron Fanatics ciemny granat : ROZMIAR - L, KOLOR - granatowy,Bluza z kapturem rozpinana męska Hinz Eskadron Fanatics ciemny granat : KOLOR - granatowy, ROZMIAR - XL,Bluza z kapturem rozpinana męska Hinz Eskadron Fanatics ciemny granat : ROZMIAR - M, KOLOR - granatowy","835957414-S","180.23,180.23,180.23,180.23","0.33","","percentage",""
"6964","Legowisko dla psa Ekkia Diego & Luna : KOLOR - antracytowy, ROZMIAR - 70/60/208cm,Legowisko dla psa Ekkia Diego & Luna : KOLOR - antracytowy, ROZMIAR - 60/50/18cm,Legowisko dla psa Ekkia Diego & Luna : KOLOR - antracytowy, ROZMIAR - 50/40/17cm","409550011-70/50/5","19.00,69.00,89.00","0.20","0.44","percentage","percentage"
"7632","Skarpety Mondo-Calza sublimowane : KOLOR - biały, ROZMIAR - one size","SPJS- BIAŁY.JEDN.TĘCZA","34.90","0.51","","percentage",""
"7654","Skarpety Mondo-Calza sublimowane : KOLOR - błękitny, ROZMIAR - one size","SPJS-BŁĘKIT.JEDN.DIAM.","34.90","0.51","","percentage",""
"7735","Skarpety Horze Amira młodzieżowe śliwkowe : KOLOR - śliwkowy,Skarpety Horze Amira młodzieżowe śliwkowe : KOLOR - śliwkowy","31343-PU/GJPU-AD","34.00,34.00","0.64","","percentage",""
"8275","Bryczesy Pikeur Glenn grip athleisur czarne 2018 : KOLOR - czarny, ROZMIAR - 34,Bryczesy Pikeur Glenn grip athleisur czarne 2018 : KOLOR - czarny, ROZMIAR - 36,Bryczesy Pikeur Glenn grip athleisur czarne 2018 : KOLOR - czarny, ROZMIAR - 40,Bryczesy Pikeur Glenn grip athleisur czarne 2018 : KOLOR - czarny, ROZMIAR - 38","GLENN GRIP ATHLE 8607/34","364.00,364.00,364.00,594.00","35.00","","amount",""
"8841","Bluza Pikeur Laia czarna 2018 : KOLOR - czarny, ROZMIAR - 34,Bluza Pikeur Laia czarna 2018 : KOLOR - czarny, ROZMIAR - 36,Bluza Pikeur Laia czarna 2018 : KOLOR - czarny, ROZMIAR - 38,Bluza Pikeur Laia czarna 2018 : KOLOR - czarny, ROZMIAR - 40","LAIA 2369/34","317.40,203.40,341.40,341.40","0.40","","percentage",""
"8856","Kurtka Pikeur Noomi czarna 2018 : KOLOR - czarny, ROZMIAR - 34,Kurtka Pikeur Noomi czarna 2018 : KOLOR - czarny, ROZMIAR - 36,Kurtka Pikeur Noomi czarna 2018 : KOLOR - czarny, ROZMIAR - 38,Kurtka Pikeur Noomi czarna 2018 : KOLOR - czarny, ROZMIAR - 40","NOOMI 1810/34","319.36,319.36,319.36,479.36","0.36","","percentage",""
