"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Category Default Name","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu"
"1088","Bluza damska Pikeur Lara granatowe 2018","Damska bluza z kapturem Lara firmy Pikeur z kolekcji jesień-zima 2018. Wykonana z miękkiego w dotyku materiału. Zachowana w sportowym stylu typu „kangurek” z  kapturem. Z przodu zdobiona dużym napisem Pikeur Sports Brand.","449.00 PLN","359.20 PLN","https://www.pegazshop.pl/bluza-damska-pikeur-lara-granatowa-2018-1088.html#/rozmiar-36/kolor-granatowy","http://www.pegazshop.pl/19480/bluza-damska-pikeur-lara-granatowa-2018.jpg","Wyprzedaż","Pikeur","4060795159808","22700000 1241 / 34"
"1088","Bluza damska Pikeur Lara granatowe 2018","Damska bluza z kapturem Lara firmy Pikeur z kolekcji jesień-zima 2018. Wykonana z miękkiego w dotyku materiału. Zachowana w sportowym stylu typu „kangurek” z  kapturem. Z przodu zdobiona dużym napisem Pikeur Sports Brand.","449.00 PLN","215.20 PLN","https://www.pegazshop.pl/bluza-damska-pikeur-lara-granatowa-2018-1088.html#/rozmiar-38/kolor-granatowy","http://www.pegazshop.pl/19480/bluza-damska-pikeur-lara-granatowa-2018.jpg","Wyprzedaż","Pikeur","4060795159808","22700000 1241 / 34"
"1088","Bluza damska Pikeur Lara granatowe 2018","Damska bluza z kapturem Lara firmy Pikeur z kolekcji jesień-zima 2018. Wykonana z miękkiego w dotyku materiału. Zachowana w sportowym stylu typu „kangurek” z  kapturem. Z przodu zdobiona dużym napisem Pikeur Sports Brand.","449.00 PLN","215.20 PLN","https://www.pegazshop.pl/bluza-damska-pikeur-lara-granatowa-2018-1088.html#/rozmiar-40/kolor-granatowy","http://www.pegazshop.pl/19480/bluza-damska-pikeur-lara-granatowa-2018.jpg,http://www.pegazshop.pl/22095/bluza-damska-pikeur-lara-granatowa-2018.jpg","Wyprzedaż","Pikeur","4060795159808","22700000 1241 / 34"
"1091","Bluza damska Pikeur Lara szara 2018","Damska bluza z kapturem Lara firmy Pikeur z kolekcji jesień-zima 2018. Wykonana z miękkiego w dotyku materiału. Zachowana w sportowym stylu typu „kangurek” z  kapturem. Z przodu zdobiona dużym napisem Pikeur Sports Brand.","449.00 PLN","359.20 PLN","https://www.pegazshop.pl/bluza-damska-pikeur-lara-szara-2018-1091.html#/rozmiar-34/kolor-szary","http://www.pegazshop.pl/19481/bluza-damska-pikeur-lara-szara-2018.jpg","Wyprzedaż","Pikeur","4060795159723","22700000 1240 / 34"
"1091","Bluza damska Pikeur Lara szara 2018","Damska bluza z kapturem Lara firmy Pikeur z kolekcji jesień-zima 2018. Wykonana z miękkiego w dotyku materiału. Zachowana w sportowym stylu typu „kangurek” z  kapturem. Z przodu zdobiona dużym napisem Pikeur Sports Brand.","449.00 PLN","359.20 PLN","https://www.pegazshop.pl/bluza-damska-pikeur-lara-szara-2018-1091.html#/rozmiar-36/kolor-szary","http://www.pegazshop.pl/19481/bluza-damska-pikeur-lara-szara-2018.jpg","Wyprzedaż","Pikeur","4060795159723","22700000 1240 / 34"
"1091","Bluza damska Pikeur Lara szara 2018","Damska bluza z kapturem Lara firmy Pikeur z kolekcji jesień-zima 2018. Wykonana z miękkiego w dotyku materiału. Zachowana w sportowym stylu typu „kangurek” z  kapturem. Z przodu zdobiona dużym napisem Pikeur Sports Brand.","449.00 PLN","292.00 PLN","https://www.pegazshop.pl/bluza-damska-pikeur-lara-szara-2018-1091.html#/rozmiar-38/kolor-szary","http://www.pegazshop.pl/19481/bluza-damska-pikeur-lara-szara-2018.jpg,http://www.pegazshop.pl/22098/bluza-damska-pikeur-lara-szara-2018.jpg","Wyprzedaż","Pikeur","4060795159723","22700000 1240 / 34"
"1109","Komin Pikeur granatowy 2018","Komin marki Pikeur z kolekcji jesień-zima 2018. Ciepły, wykonany z wysokiej jakości dzianiny wewnątrz podszyty polarem. Ozdobiony małym emblematem z nazwą Pikeur. Materiał: 51% wełny owczej, 47% poliakrylu, 2% elastanu; wnętrze: 100% poliester.","129.00 PLN","103.20 PLN","https://www.pegazshop.pl/komin-pikeur-granatowy-2018-1109.html#/rozmiar-one_size/kolor-granatowy","http://www.pegazshop.pl/17965/komin-pikeur-granatowy-2018.jpg","Wyprzedaż","Pikeur","4060795162327","28490000 1295 / STÜCK"
"1117","Komin Pikeur ciemnozielony 2018","Komin marki Pikeur z kolekcji jesień-zima 2018. Ciepły, wykonany z wysokiej jakości dzianiny wewnątrz podszyty polarem. Ozdobiony małym emblematem z nazwą Pikeur. Materiał: 51% wełny owczej, 47% poliakrylu, 2% elastanu; wnętrze: 100% poliester.","129.00 PLN","103.20 PLN","https://www.pegazshop.pl/komin-pikeur-ciemnozielony-2018-1117.html#/rozmiar-one_size/kolor-ciemny_zielony","http://www.pegazshop.pl/17967/komin-pikeur-ciemnozielony-2018.jpg","Wyprzedaż","Pikeur","4060795154551","28520000 2133 / STÜCK"
"1127","Czapka zimowa Pikeur ciemnoszaro-czarna 2018","Czapka z pomponem marki Pikeur z kolekcji jesień-zima 2018. Część dolna czapki zakończona błyszczącą nitką. Dodatkowo   umieszczono metalowy emblemat z nazwą producenta.","119.00 PLN","95.20 PLN","https://www.pegazshop.pl/czapka-zimowa-pikeur-ciemnoszaro-czarna-2018-1127.html#/rozmiar-55/kolor-ciemnoszary_czarny","http://www.pegazshop.pl/17960/czapka-zimowa-pikeur-ciemnoszaro-czarna-2018.jpg","Wyprzedaż","Pikeur","4060795154377","28500000 1443 / 55"
"1136","Kamizelka ocieplana damska Ekkia","Kamizelka damska firmy Ekkia. Wykonana z wysokiej jakości korpus: 100% poliamid - Wkłady: 88% poliester, 12% elastan. Można prać w pralce w temperaturze 30°C.","330.00 PLN","247.50 PLN","https://www.pegazshop.pl/kamizelka-ocieplana-damska-ekkia-1136.html#/rozmiar-xs/kolor-granatowy","http://www.pegazshop.pl/1270/kamizelka-ocieplana-damska-ekkia.jpg,http://www.pegazshop.pl/1271/kamizelka-ocieplana-damska-ekkia.jpg","Kamizelki damskie","Ekkia","3338025564380","978003071"
