"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Category Default Name","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu","Krótki opis"
"38","Bezrękawnik Pikeur Gracia śliwkowa","Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień.","749.00 PLN","486.85 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-gracia-śliwkowa-38.html","http://www.pegazshop.pl/28438/bezrękawnik-pikeur-gracia-śliwkowa.jpg,http://www.pegazshop.pl/28439/bezrękawnik-pikeur-gracia-śliwkowa.jpg","WYPRZEDAŻ","Pikeur","4055377480753","00427-GRACIA 3111-44","Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień."
"40","Bejsbolówka Pikeur granatowa","Bejsbolówka firmy Pikeur kolekcj wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur.","119.00 PLN","83.30 PLN","https://www.pegazshop.pl/bejsbolówka-pikeur-granatowa-40.html","http://www.pegazshop.pl/19506/bejsbolówka-pikeur-granatowa.jpg","Czapki z daszkiem","Pikeur","4047182793531","CAP POLO 994/965","Bejsbolówka firmy Pikeur kolekcj wiosna-lato 2015. Dwukolorowa czapka z sztywnym daszkiem, idealna na słoneczne dni. Ozdobiona aplikacją z cyframi oraz napisem Pikeur."
"47","Bezrękawnik Pikeur Gracia perłowy róż","Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień.","749.00 PLN","486.85 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-gracia-perłowy-róż-47.html","http://www.pegazshop.pl/28436/bezrękawnik-pikeur-gracia-perłowy-róż.jpg,http://www.pegazshop.pl/28437/bezrękawnik-pikeur-gracia-perłowy-róż.jpg","WYPRZEDAŻ","Pikeur","4055377336364","00426-GRACIA 3110-36","Damska kamizelka Gracia marki Pikeur z kolekcji jesień-zima 2016. Ocieplana kamizelka o bardzo kobiecym fasonie, wyposażona w kołnierz z odpinanym sztucznym futerkiem. Zapinana na dwukierunkowy zamek w kolorze różowego złota, podobnie jak kieszenie boczne. Na lewej piersi oraz stójce umieszczono logo „Pikeur”. Idealna zarówno do jazdy konnej jak i na co dzień."
"60","Bluza z kapturem Pikeur Clemens szara","Męska bluza Clemens marki Pikeur z kolekcji jesień-zima 2015. Praktyczna o sportowym kroju, wykonana z wysokogatunkowej tkaniny podszytej polarem w kontrastującym kolorze. Wnętrze kaptura wypełnione przyjemnym w dotyku i ciepłym kożuszkiem. Dół bluzy oraz rękawy zakończone szerokim ściągaczem. Po bokach kieszenie. Ozdobiona napisem Pikeur na piersi oraz naszywkami na ramieniu oraz przy kieszeni.","399.00 PLN","259.35 PLN","https://www.pegazshop.pl/bluza-z-kapturem-pikeur-clemens-szara-60.html","http://www.pegazshop.pl/28453/bluza-z-kapturem-pikeur-clemens-szara.jpg,http://www.pegazshop.pl/28454/bluza-z-kapturem-pikeur-clemens-szara.jpg,http://www.pegazshop.pl/28455/bluza-z-kapturem-pikeur-clemens-szara.jpg,http://www.pegazshop.pl/28456/bluza-z-kapturem-pikeur-clemens-szara.jpg,http://www.pegazshop.pl/28457/bluza-z-kapturem-pikeur-clemens-szara.jpg,http://www.pegazshop.pl/28458/bluza-z-kapturem-pikeur-clemens-szara.jpg","WYPRZEDAŻ","Pikeur","4055377218356","00482-CLEMENS 3602-M","Męska bluza Clemens marki Pikeur z kolekcji jesień-zima 2015. Praktyczna o sportowym kroju, wykonana z wysokogatunkowej tkaniny podszytej polarem w kontrastującym kolorze. Wnętrze kaptura wypełnione przyjemnym w dotyku i ciepłym kożuszkiem. Dół bluzy oraz rękawy zakończone szerokim ściągaczem. Po bokach kieszenie. Ozdobiona napisem Pikeur na piersi oraz naszywkami na ramieniu oraz przy kieszeni."
"68","Bluzka konkursowa FP Julia czerwona","Bluzka konkursowa Julia marki Fair Play wykonana z wysokiej jakości materiału doskonale przepuszczającego powietrze i odprowadzającego wilgoć. Elgancka koszulka z krótkim rękawem, zapinana na suwak. Efektowne marszczenie i ozdobne logo z przodu.","159.00 PLN","111.30 PLN","https://www.pegazshop.pl/bluzka-konkursowa-fp-julia-czerwona-68.html","http://www.pegazshop.pl/28980/bluzka-konkursowa-fp-julia-czerwona.jpg,http://www.pegazshop.pl/28981/bluzka-konkursowa-fp-julia-czerwona.jpg","Koszule konkursowe","Inter-Api","5901845320801","03143040400-M","Bluzka konkursowa Julia marki Fair Play wykonana z wysokiej jakości materiału doskonale przepuszczającego powietrze i odprowadzającego wilgoć. Elgancka koszulka z krótkim rękawem, zapinana na suwak. Efektowne marszczenie i ozdobne logo z przodu."
"81","Bluzka konkursowa Pikeur biała","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna.","269.00 PLN","174.85 PLN,174.85 PLN,174.85 PLN","https://www.pegazshop.pl/bluzka-konkursowa-pikeur-biała--81.html","http://www.pegazshop.pl/28494/bluzka-konkursowa-pikeur-biała-.jpg,http://www.pegazshop.pl/28495/bluzka-konkursowa-pikeur-biała-.jpg,http://www.pegazshop.pl/28499/bluzka-konkursowa-pikeur-biała-.jpg,http://www.pegazshop.pl/28505/bluzka-konkursowa-pikeur-biała-.jpg","WYPRZEDAŻ","Pikeur","4055377278282","00549-549/6049-34","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna."
"89","Bluzka konkursowa Pikeur czerwona","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna.","289.00 PLN","187.85 PLN","https://www.pegazshop.pl/bluzka-konkursowa-pikeur-czerwona--89.html","http://www.pegazshop.pl/28508/bluzka-konkursowa-pikeur-czerwona-.jpg,http://www.pegazshop.pl/28509/bluzka-konkursowa-pikeur-czerwona-.jpg","WYPRZEDAŻ","Pikeur","4047182780449","00570-TURNSHIRT 6000-34","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna."
"111","Koszulka Pikeur Lucette szara","Koszulka Lucette marki Pikeur z kolekcji wiosna-lato 2017. Sportowa, damska koszulka z krótkim rękawem i ciekawym dekoltem. Ozdobiona napisem Pikeur Sports na lewej piersi.","249.00 PLN","174.30 PLN,174.30 PLN","https://www.pegazshop.pl/koszulka-pikeur-lucette-szara-111.html","http://www.pegazshop.pl/18036/koszulka-pikeur-lucette-szara.jpg","WYPRZEDAŻ","Pikeur","4055377536238","LUCETTE 3600-36","Koszulka Lucette marki Pikeur z kolekcji wiosna-lato 2017. Sportowa, damska koszulka z krótkim rękawem i ciekawym dekoltem. Ozdobiona napisem Pikeur Sports na lewej piersi."
"113","Bluzka Pikeur Pia szara","Koszulka Pia marki Pikeur z kolekcji wiosna-lato 2017. Kobiecy, bardzo wygodny i przewiewny Tshirt z krótkim rękawkiem. Ozdobiony dużym cekinowym napisem Pikeur, który dodatkowo został obszyty nicią w kontrastującym kolorze.","199.00 PLN","139.30 PLN","https://www.pegazshop.pl/bluzka-pikeur-pia-szara-113.html","http://www.pegazshop.pl/28554/bluzka-pikeur-pia-szara.jpg,http://www.pegazshop.pl/28555/bluzka-pikeur-pia-szara.jpg","WYPRZEDAŻ","Pikeur","4055377538676","00627-PIA 3692-36","Koszulka Pia marki Pikeur z kolekcji wiosna-lato 2017. Kobiecy, bardzo wygodny i przewiewny Tshirt z krótkim rękawkiem. Ozdobiony dużym cekinowym napisem Pikeur, który dodatkowo został obszyty nicią w kontrastującym kolorze."
"130","Bryczesy Pikeur Felina białe","Damskie bryczesy Felina marki Pikeur z kolekcji wiosna-lato 2012. Eleganckie model wykonany z wysokiej jakości elastycznego materiału. Posiadają pełen lej z imitacji skóry, który wspomaga utrzymanie się w siodle. Wyposażone w dwie otwarte kieszenie. Charakteryzują się małą srebrną kieszonką z prawej strony oraz aplikacją na lewym biodrze nad, którą znajduje się delikatny napis Pikeur.","745.00 PLN","521.50 PLN","https://www.pegazshop.pl/bryczesy-pikeur-felina-białe-130.html","http://www.pegazshop.pl/28576/bryczesy-pikeur-felina-białe.jpg,http://www.pegazshop.pl/28577/bryczesy-pikeur-felina-białe.jpg,http://www.pegazshop.pl/28578/bryczesy-pikeur-felina-białe.jpg,http://www.pegazshop.pl/28579/bryczesy-pikeur-felina-białe.jpg,http://www.pegazshop.pl/28580/bryczesy-pikeur-felina-białe.jpg,http://www.pegazshop.pl/28581/bryczesy-pikeur-felina-białe.jpg","WYPRZEDAŻ","Pikeur","4047182598747","00707-FELINA 8233-M","Damskie bryczesy Felina marki Pikeur z kolekcji wiosna-lato 2012. Eleganckie model wykonany z wysokiej jakości elastycznego materiału. Posiadają pełen lej z imitacji skóry, który wspomaga utrzymanie się w siodle. Wyposażone w dwie otwarte kieszenie. Charakteryzują się małą srebrną kieszonką z prawej strony oraz aplikacją na lewym biodrze nad, którą znajduje się delikatny napis Pikeur."
