"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod produktu";"Kod kreskowy EAN-13 lub JAN";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji"
"10803";"Czaprak Eskadron Classic Sports Big Square Seapine Green 2019";"212065 415 560 / DL";"4060795840461";"0";"seapine green";"DL";"212065 415 560 / DL";"4060795840461"
"10803";"Czaprak Eskadron Classic Sports Big Square Seapine Green 2019";"212065 415 560 / DL";"4060795840461";"0";"seapine green";"VS";"212065 415 560 / VS";"4060795840492"
"10803";"Czaprak Eskadron Classic Sports Big Square Seapine Green 2019";"212065 415 560 / DL";"4060795840461";"1";"seapine green";"PD";"212065 415 560 / PD";"4060795840485"
"10809";"Bluza damska Pikeur Cara pomarańczowa 2019";"CARA 2690/36 2019";"4060795796836";"1";"pomarańczowy";"36";"CARA 2690/36 2019";"4060795796836"
"10809";"Bluza damska Pikeur Cara pomarańczowa 2019";"CARA 2690/36 2019";"4060795796836";"0";"pomarańczowy";"38";"CARA 2690/38 2019";"4060795796843"
"10809";"Bluza damska Pikeur Cara pomarańczowa 2019";"CARA 2690/36 2019";"4060795796836";"1";"pomarańczowy";"34";"CARA 2690/34 2019";"4060795796829"
"10809";"Bluza damska Pikeur Cara pomarańczowa 2019";"CARA 2690/36 2019";"4060795796836";"0";"pomarańczowy";"40";"CARA 2690/40 2019";"4060795796850"
"10811";"Derka Jersey Wide Eskadron Classic Sports Seapine Green 2019";"123065 259 560 / M";"4060795839304";"1";"seapine green";"M";"123065 259 560 / M";"4060795839304"
"10811";"Derka Jersey Wide Eskadron Classic Sports Seapine Green 2019";"123065 259 560 / M";"4060795839304";"0";"seapine green";"L";"123065 259 560 / L";"4060795839311"
"10812";"Derka siatkowa z kołnierzem HKM Lyon biała";"70761200.04790001";"4057052161216";"2";"biały";"155 cm";"70761200.04790001";"4057052161216"
"10812";"Derka siatkowa z kołnierzem HKM Lyon biała";"70761200.04790001";"4057052161216";"1";"biały";"125 cm";"70761200.04359999";"4057052161186"
"10812";"Derka siatkowa z kołnierzem HKM Lyon biała";"70761200.04790001";"4057052161216";"0";"biały";"135 cm";"70761200.04520001";"4057052161193"
"10812";"Derka siatkowa z kołnierzem HKM Lyon biała";"70761200.04790001";"4057052161216";"2";"biały";"115 cm";"70761200.04279999";"4057052161179"
"10812";"Derka siatkowa z kołnierzem HKM Lyon biała";"70761200.04790001";"4057052161216";"2";"biały";"145 cm";"70761200.0464";"4057052161209"
"10812";"Derka siatkowa z kołnierzem HKM Lyon biała";"70761200.04790001";"4057052161216";"1";"biały";"165 cm";"70761200.0492";"4057052161223"
"10813";"Kurtka damska Pikeur Hella antracytowa 2019";"HELLA 4836/36 2019";"4060795797499";"2";"antracytowy";"36";"HELLA 4836/36 2019";"4060795797499"
"10813";"Kurtka damska Pikeur Hella antracytowa 2019";"HELLA 4836/36 2019";"4060795797499";"4";"antracytowy";"34";"HELLA 4836/34 2019";"4060795797482"
"10813";"Kurtka damska Pikeur Hella antracytowa 2019";"HELLA 4836/36 2019";"4060795797499";"2";"antracytowy";"40";"HELLA 4836/40 2019";"4060795797512"
"10813";"Kurtka damska Pikeur Hella antracytowa 2019";"HELLA 4836/36 2019";"4060795797499";"4";"antracytowy";"38";"HELLA 4836/38 2019";"4060795797505"
"10819";"Rękawiczki letnie Horze skórzane czarne";"31697BL9";"6438433048865";"2";"czarny";"9";"31697BL9";"6438433048865"
"10819";"Rękawiczki letnie Horze skórzane czarne";"31697BL9";"6438433048865";"5";"czarny";"8";"31697BL8";"6438433048858"
"10819";"Rękawiczki letnie Horze skórzane czarne";"31697BL9";"6438433048865";"0";"czarny";"7";"31697BL7";"6438433048841"
"10819";"Rękawiczki letnie Horze skórzane czarne";"31697BL9";"6438433048865";"3";"czarny";"6";"31697BL6";"6438433048834"
"10826";"Rękawiczki letnie Horze białe";"31703-WH-9";"6438433049428";"1";"biały";"9";"31703-WH-9";"6438433049428"
"10826";"Rękawiczki letnie Horze białe";"31703-WH-9";"6438433049428";"0";"biały";"5";"31703-WH-5";"6438433049381"
"10826";"Rękawiczki letnie Horze białe";"31703-WH-9";"6438433049428";"1";"biały";"10";"31703-WH-10";"6438433049367"
"10826";"Rękawiczki letnie Horze białe";"31703-WH-9";"6438433049428";"0";"biały";"8";"31703-WH-8";"6438433049411"
"10826";"Rękawiczki letnie Horze białe";"31703-WH-9";"6438433049428";"0";"biały";"6";"31703-WH-6";"6438433049398"
"10826";"Rękawiczki letnie Horze białe";"31703-WH-9";"6438433049428";"0";"biały";"7";"31703-WH-7";"6438433049404"
"10827";"Kurtka damska Horze Jadine granatowa";"33331-VDB-36";"6438076927886";"2";"granatowy";"36";"33331-VDB-36";"6438076927886"
"10827";"Kurtka damska Horze Jadine granatowa";"33331-VDB-36";"6438076927886";"1";"granatowy";"38";"33331-VDB-38";"6438076927893"
"10827";"Kurtka damska Horze Jadine granatowa";"33331-VDB-36";"6438076927886";"1";"granatowy";"34";"33331-VDB-34";"6438076927879"
"10827";"Kurtka damska Horze Jadine granatowa";"33331-VDB-36";"6438076927886";"0";"granatowy";"42";"33331-VDB-42";"6438076927916"
"10827";"Kurtka damska Horze Jadine granatowa";"33331-VDB-36";"6438076927886";"0";"granatowy";"44";"33331-VDB-44";"6438076927923"
"10827";"Kurtka damska Horze Jadine granatowa";"33331-VDB-36";"6438076927886";"1";"granatowy";"40";"33331-VDB-40";"6438076927909"
"10828";"Nauszniki Horze Caliber granatowe";"22898-VDB-P";"6438433055030";"1";"granatowy";"Pony";"22898-VDB-P";"6438433055030"
"10828";"Nauszniki Horze Caliber granatowe";"22898-VDB-P";"6438433055030";"1";"granatowy";"Full";"22898-VDB-F";"6438433055023"
"10829";"Nauszniki Horze Warwick czarne";"22899-BL-F";"6438433056259";"0";"czarny";"Full";"22899-BL-F";"6438433056259"
"10829";"Nauszniki Horze Warwick czarne";"22899-BL-F";"6438433056259";"1";"czarny";"Pony";"22899-BL-P";"6438433056266"
"10832";"Ogłowie Horze Stewart czarne";"10082BLF";"6438433062519";"1";"czarny";"Full";"10082BLF";"6438433062519"
"10832";"Ogłowie Horze Stewart czarne";"10082BLF";"6438433062519";"1";"czarny";"Extra Full";"10082BLXF";"6438433062540"
"10832";"Ogłowie Horze Stewart czarne";"10082BLF";"6438433062519";"1";"czarny";"Cob";"10082BLC";"6438433062502"
"10833";"Ogłowie Horze Lincoln czarne";"10083-BL-C";"6438433062601";"2";"czarny";"Cob";"10083-BL-C";"6438433062601"
"10833";"Ogłowie Horze Lincoln czarne";"10083-BL-C";"6438433062601";"2";"czarny";"Full";"10083-BL-F";"6438433062618"
"10837";"Czapsy dziecięce Horze skórzane czarne";"37271BL8";"6438433049077";"6";"czarny";"8 lat";"37271BL8";"6438433049077"
"10837";"Czapsy dziecięce Horze skórzane czarne";"37271BL8";"6438433049077";"4";"czarny";"6 lat";"37271BL6";"6438433049060"
"10837";"Czapsy dziecięce Horze skórzane czarne";"37271BL8";"6438433049077";"4";"czarny";"10 lat";"37271BL10";"6438433049022"
"10837";"Czapsy dziecięce Horze skórzane czarne";"37271BL8";"6438433049077";"6";"czarny";"12 lat";"37271BL12";"6438433049046"
"10837";"Czapsy dziecięce Horze skórzane czarne";"37271BL8";"6438433049077";"4";"czarny";"10 lat podwyższane";"37271BL10H";"6438433049039"
"10837";"Czapsy dziecięce Horze skórzane czarne";"37271BL8";"6438433049077";"7";"czarny";"12 lat podwyższane";"37271BL12H";"6438433049053"
"10838";"Maska siatkowa Horze czarna";"22900BLXL";"6438433059847";"2";"czarny";"XL";"22900BLXL";"6438433059847"
"10838";"Maska siatkowa Horze czarna";"22900BLXL";"6438433059847";"0";"czarny";"XS";"22900BLXS";"6438433059854"
"10838";"Maska siatkowa Horze czarna";"22900BLXL";"6438433059847";"6";"czarny";"S";"22900BLS";"6438433059830"
"10838";"Maska siatkowa Horze czarna";"22900BLXL";"6438433059847";"2";"czarny";"L";"22900BLL";"6438433059816"
"10838";"Maska siatkowa Horze czarna";"22900BLXL";"6438433059847";"1";"czarny";"M";"22900BLM";"6438433059823"
"10838";"Maska siatkowa Horze czarna";"22900BLXL";"6438433059847";"1";"czarny";"XXL";"22900BLXXL";"6438433059861"
