"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR"
"118";"Bryczesy młodzieżowe HKM Starlight czarno-różowe";"92289139.1552";"4057052157141";"1";"czarny-różowy";"122-128"
"118";"Bryczesy młodzieżowe HKM Starlight czarno-różowe";"92289139.1556";"4057052157189";"1";"czarny-różowy";"170-176"
"119";"Bryczesy młodzieżowe HKM Starlight granat-czarny";"92286991.15530001";"4057052156601";"0";"granatowy-czarny";"134-140"
"119";"Bryczesy młodzieżowe HKM Starlight granat-czarny";"92286991.15539999";"4057052156618";"0";"granatowy-czarny";"146-152"
"119";"Bryczesy młodzieżowe HKM Starlight granat-czarny";"92286991.1552";"4057052156595";"1";"granatowy-czarny";"122-128"
"119";"Bryczesy młodzieżowe HKM Starlight granat-czarny";"92286991.15549999";"4057052156625";"1";"granatowy-czarny";"158-164"
"119";"Bryczesy młodzieżowe HKM Starlight granat-czarny";"92286991.1556";"4057052156632";"1";"granatowy-czarny";"170-176"
"120";"Bryczesy młodzieżowe HKM Starlight szary-róż";"92289239.15530001";"4057052157424";"1";"szary-różowy";"134-140"
"120";"Bryczesy młodzieżowe HKM Starlight szary-róż";"92289239.15539999";"4057052157431";"1";"szary-różowy";"146-152"
"120";"Bryczesy młodzieżowe HKM Starlight szary-róż";"92289239.15549999";"4057052157448";"1";"szary-różowy";"158-164"
"120";"Bryczesy młodzieżowe HKM Starlight szary-róż";"92289239.1556";"4057052157455";"2";"szary-różowy";"170-176"
"120";"Bryczesy młodzieżowe HKM Starlight szary-róż";"92289239.1552";"4057052157417";"0";"szary-różowy";"122-128"
"130";"Bryczesy Pikeur Felina białe";"00707-FELINA 8233-M";"4047182598747";"1";"biały";"M"
"136";"Bryczesy Pikeur Lavinia Full białe";"00716-LAVINIA 7743-34";"4047182248987";"1";"biały";"34"
"136";"Bryczesy Pikeur Lavinia Full białe";"00717-LAVINIA 7743-38";"4047182268596";"0";"biały";"38"
"143";"Bryczesy Pikeur Olympic Full białe";"00738-OLYMPIC I 3133-34";"4047182516710";"1";"biały";"34"
"148";"Chapsy Waldhausen dziecięce czarne";"200001-KL";"4043969158111";"1";"czarny";"KL"
"148";"Chapsy Waldhausen dziecięce czarne";"200001-KM";"4043969052808";"0";"czarny";"KM"
"148";"Chapsy Waldhausen dziecięce czarne";"200001-KS";"4043969052815";"5";"czarny";"KS"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR LX";"5901646944879";"3";"brązowy";"LX"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR LXX";"5901646944831";"2";"brązowy";"LXX"
