id_product;name;reference;price;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"54";"Bluza HKM Flash granatowo-szary";"78156995.0636";"153.658537";"0";"Pegaz";"1";"34";"Bluzy damskie";"0";"0";"";"0";"1";
"55";"Bluza Pikeur Dorena pomarańczowa";"DORENA 2665/36";"475.609756";"0";"Pegaz";"1";"59677";"Bluzy";"0";"0";"";"0";"1";
"56";"Bluza Pikeur Fleur fioletowa";"FLEUR 2602-34";"267.479675";"0";"Pegaz";"1";"37";"Bluzy damskie";"0";"0";"";"0";"1";
"57";"Bluza Pikeur Leonie granatowa";"00469-LEONIE 3668/38";"357.723577";"0";"Pegaz";"1";"28450";"Bluzy damskie";"0";"0";"";"0";"1";
"61";"Bluza z kapturem Pikeur Frida turkusowa";"00485-FRIDA 3612-40";"160.975610";"0";"Pegaz";"1";"28459";"Bluzy męskie";"0";"0";"";"0";"1";
"63";"Kurtka damska z kapturem Pikeur Medea zielona";"00489-MEDEA 2753-34";"568.292683";"0";"Pegaz";"1";"28468";"Kurtki / płaszcze damskie";"0";"0";"";"0";"1";
"64";"Bluza z kapturem Pikeur Pablo granatowa";"00494-PABLO 3764-S";"321.138211";"0";"Pegaz";"1";"28469";"Bluzy męskie";"0";"0";"";"0";"1";
"66";"Koszulka konkursowa Waldhausen Cassandra biała";"3209302-36";"142.276423";"0";"Pegaz";"1";"21493";"Koszulki konkursowe";"0";"0";"";"0";"1";
"67";"Bluzka konkursowa ELT Lori biała";"31753023-L";"72.357724";"0";"Pegaz";"1";"";"Koszule konkursowe";"0";"0";"";"0";"1";
"68";"Koszulka konkursowa FP Julia czerwona";"03143040400-M";"129.268293";"0";"Pegaz";"1";"28980";"Koszule konkursowe";"0";"0";"";"0";"1";
"69";"Koszulka konkursowa HKM international granatowa";"74626900-M";"150.406504";"0";"Pegaz";"1";"57911";"Koszule konkursowe";"0";"0";"";"0";"1";
"70";"Koszulka konkursowa HKM Quins Lace granatowa";"81676900.0606";"111.382114";"0";"Pegaz";"1";"46";"Koszule konkursowe";"0";"0";"";"0";"1";
"71";"Koszulka konkursowa HKM Silver Stream czerwona";"73543900.0606";"199.186992";"0";"Pegaz";"1";"47";"Koszule konkursowe";"0";"0";"";"0";"1";
"72";"Koszulka konkursowa Horze biała";"32362-WH-36";"104.878049";"0";"Pegaz";"1";"21497";"Koszule konkursowe";"0";"0";"";"0";"1";
"73";"Koszulka konkursowa Horze Cool biała";"33044-WH-122/128";"80.487805";"0";"Pegaz";"1";"21498";"Koszule konkursowe";"0";"0";"";"0";"1";
"74";"Bluzka konkursowa Horze długi rękaw biała";"33043";"96.747967";"0";"Pegaz";"1";"51";"Koszule konkursowe";"0";"0";"";"0";"1";
"75";"Koszulka konkursowa IR Dreamlight granatowa";"00532-IR:KL35315000/NA-M";"137.398374";"0";"Pegaz";"1";"";"Koszule konkursowe";"0";"0";"";"0";"1";
"76";"Koszulka konkursowa IR Lorna czarna";"00536-KL35115006/BK-M";"137.398374";"0";"Pegaz";"1";"28482";"Koszule konkursowe";"0";"0";"";"0";"1";
"77";"Bluzka konkursowa Pikeur biała";"00544-439/6093-140";"145.528455";"0";"Pegaz";"1";"28486";"Koszule konkursowe";"0";"0";"";"0";"1";
"78";"Bluzka konkursowa Pikeur biała";"00546-KITURNSHIRT 6093-170";"121.951220";"0";"Pegaz";"1";"28488";"Koszule konkursowe";"0";"0";"";"0";"1";
"79";"Koszulka konkursowa Pikeur biała";"00547-549/6007-34";"218.699187";"0";"Pegaz";"1";"28490";"Koszulki konkursowe";"0";"0";"";"0";"1";
"87";"Bluzka konkursowa Pikeur czarna";"00568-D-TURN.SHIRT 605-34";"210.569106";"0";"Pegaz";"1";"28506";"Koszule konkursowe";"0";"0";"";"0";"1";
"91";"Bluzka konkursowa Pikeur czerwona";"00573-D-TURN.SHIRT 6000-38";"93.495935";"0";"Pegaz";"1";"28512";"Koszule konkursowe";"0";"0";"";"0";"1";
"92";"Bluzka konkursowa Pikeur długi rękaw biała";"00577-60008/6051-38";"291.869919";"0";"Pegaz";"1";"28514";"Koszule konkursowe";"0";"0";"";"0";"1";
"93";"Bluzka konkursowa Pikeur granatowa";"00578-547/6008-34";"226.829268";"0";"Pegaz";"1";"28516";"Koszule konkursowe";"0";"0";"";"0";"1";
"94";"Koszulka konkursowa Pikeur granatowa";"00580-553/6008-34";"226.829268";"0";"Pegaz";"1";"28518";"Koszule konkursowe";"0";"0";"";"0";"1";
"95";"Bluzka konkursowa Pikeur granatowa";"00583-416/6089-38";"145.528455";"0";"Pegaz";"1";"28521";"Koszule konkursowe";"0";"0";"";"0";"1";
"96";"Koszulka konkursowa Pikeur malinowa";"00585-550/6009-36";"256.097561";"0";"Pegaz";"1";"28524";"Koszulki konkursowe";"0";"0";"";"0";"1";
"97";"Koszulka konkursowa Pikeur pomarańczowa";"00590-D-TURN.SHIRT 6006-34";"202.439024";"0";"Pegaz";"1";"28527";"Koszulki konkursowe";"0";"0";"";"0";"1";
"98";"Koszulka konkursowa Pikeur różowa";"00592-547/6045-34";"243.089431";"0";"Pegaz";"1";"28530";"Koszulki konkursowe";"0";"0";"";"0";"1";
"99";"Koszulka konkursowa Pikeur różowa";"00593-D-TURN.SHIRT 6001-36";"202.439024";"0";"Pegaz";"1";"28532";"Koszule konkursowe";"0";"0";"";"0";"1";
